Data_set,Noise_level,Approach,Run,cpu_time
sens_SBS35_5_1066,Realistic,mSigHdp_ds_3k,seed.528401,1320139.37
sens_SBS35_5_1066,Realistic,SigProfilerExtractor,seed.1076753,354939.47
sens_SBS35_5_1066,Realistic,SigProfilerExtractor,seed.145879,351238.64
sens_SBS35_5_1066,Realistic,SigProfilerExtractor,seed.200437,352145.7
sens_SBS35_5_1066,Realistic,SigProfilerExtractor,seed.310111,354668.62
sens_SBS35_5_1066,Realistic,SigProfilerExtractor,seed.528401,357379.54
sens_SBS35_10_1066,Realistic,mSigHdp_ds_3k,seed.1076753,1303760.115
sens_SBS35_10_1066,Realistic,mSigHdp_ds_3k,seed.145879,1303502.965
sens_SBS35_10_1066,Realistic,mSigHdp_ds_3k,seed.200437,1316744.202
sens_SBS35_10_1066,Realistic,mSigHdp_ds_3k,seed.310111,1308085.823
sens_SBS35_10_1066,Realistic,mSigHdp_ds_3k,seed.528401,1306924.403
sens_SBS35_10_1066,Realistic,SigProfilerExtractor,seed.1076753,359502.43
sens_SBS35_10_1066,Realistic,SigProfilerExtractor,seed.145879,353297.29
sens_SBS35_10_1066,Realistic,SigProfilerExtractor,seed.200437,351096.05
sens_SBS35_10_1066,Realistic,SigProfilerExtractor,seed.310111,351860.83
sens_SBS35_10_1066,Realistic,SigProfilerExtractor,seed.528401,351536.95
sens_SBS35_20_1066,Realistic,mSigHdp_ds_3k,seed.1076753,1309975.298
sens_SBS35_20_1066,Realistic,mSigHdp_ds_3k,seed.145879,1310338.471
sens_SBS35_20_1066,Realistic,mSigHdp_ds_3k,seed.200437,1305008.872
sens_SBS35_20_1066,Realistic,mSigHdp_ds_3k,seed.310111,1305288.183
sens_SBS35_20_1066,Realistic,mSigHdp_ds_3k,seed.528401,1314677.221
sens_SBS35_20_1066,Realistic,SigProfilerExtractor,seed.1076753,342536.97
sens_SBS35_20_1066,Realistic,SigProfilerExtractor,seed.145879,343012.9
sens_SBS35_20_1066,Realistic,SigProfilerExtractor,seed.200437,344403.65
sens_SBS35_20_1066,Realistic,SigProfilerExtractor,seed.310111,344525.49
sens_SBS35_20_1066,Realistic,SigProfilerExtractor,seed.528401,342214.81
sens_SBS35_30_1066,Realistic,mSigHdp_ds_3k,seed.1076753,1306643.464
sens_SBS35_30_1066,Realistic,mSigHdp_ds_3k,seed.145879,1335805.744
sens_SBS35_30_1066,Realistic,mSigHdp_ds_3k,seed.200437,1335775.834
sens_SBS35_30_1066,Realistic,mSigHdp_ds_3k,seed.310111,1320953.116
sens_SBS35_30_1066,Realistic,mSigHdp_ds_3k,seed.528401,1323716.992
sens_SBS35_30_1066,Realistic,SigProfilerExtractor,seed.1076753,339093.79
sens_SBS35_30_1066,Realistic,SigProfilerExtractor,seed.145879,343735.13
sens_SBS35_30_1066,Realistic,SigProfilerExtractor,seed.200437,343304.49
sens_SBS35_30_1066,Realistic,SigProfilerExtractor,seed.310111,343718.75
sens_SBS35_30_1066,Realistic,SigProfilerExtractor,seed.528401,340070.44
sens_SBS35_50_1066,Realistic,mSigHdp_ds_3k,seed.1076753,1323482.909
sens_SBS35_50_1066,Realistic,mSigHdp_ds_3k,seed.145879,1309067.233
sens_SBS35_50_1066,Realistic,mSigHdp_ds_3k,seed.200437,1323698.105
sens_SBS35_50_1066,Realistic,mSigHdp_ds_3k,seed.310111,1322520.599
sens_SBS35_50_1066,Realistic,mSigHdp_ds_3k,seed.528401,1297092.616
sens_SBS35_50_1066,Realistic,SigProfilerExtractor,seed.1076753,345687.73
sens_SBS35_50_1066,Realistic,SigProfilerExtractor,seed.145879,343446.54
sens_SBS35_50_1066,Realistic,SigProfilerExtractor,seed.200437,345047.52
sens_SBS35_50_1066,Realistic,SigProfilerExtractor,seed.310111,343039.36
sens_SBS35_50_1066,Realistic,SigProfilerExtractor,seed.528401,340204.51
sens_SBS35_100_1066,Realistic,mSigHdp_ds_3k,seed.1076753,1302195.358
sens_SBS35_100_1066,Realistic,mSigHdp_ds_3k,seed.145879,1315928.612
sens_SBS35_100_1066,Realistic,mSigHdp_ds_3k,seed.200437,1307015.661
sens_SBS35_100_1066,Realistic,mSigHdp_ds_3k,seed.310111,1313544.797
sens_SBS35_100_1066,Realistic,mSigHdp_ds_3k,seed.528401,1311268.837
sens_SBS35_100_1066,Realistic,SigProfilerExtractor,seed.1076753,341470.16
sens_SBS35_100_1066,Realistic,SigProfilerExtractor,seed.145879,342934.66
sens_SBS35_100_1066,Realistic,SigProfilerExtractor,seed.200437,343777.7
sens_SBS35_100_1066,Realistic,SigProfilerExtractor,seed.310111,341787.07
sens_SBS35_100_1066,Realistic,SigProfilerExtractor,seed.528401,344298.57
